fakeID,b_specialisation_i,b_specialisation_h,b_specialisation_g,b_specialisation_f,b_specialisation_e,b_specialisation_d,b_specialisation_c,b_specialisation_b,b_specialisation_a,b_specialisation_j,q_OpeningDays,q_OpeningHours,q_2017 Average Household Size,q_2017 Total Households,q_2017 HHs: 5th Quintile (68.759 and above),q_5th Quint by Total HH,q_2017 Purchasing Power: Per Capita,q_2017 Total Population,"q_2017 Pop 15+/Edu: University, Fachhochschule",q_Uni by Total Pop,q_2017 Personal Care: Per Capita,q_2017 Medical Products: Per Capita,q_2017 Personal Effects: Per Capita,b_in_kontakt_gewesen,b_gekauft_gesamt
441_7189,0,0,0,0,0,0,0,0,0,0,5,20,2.2,258235,54088,0.20945263,24383.28,565687,49667,0.087799437,592.83,336.6,247.79,1,0
607_7748,1,1,1,0,1,0,0,0,1,0,4,21,2.1,643969,117171,0.181951305,23287.98,1373951,165079,0.120149117,585.32,325.52,233.34,1,0
1162_7737,0,0,0,0,0,0,0,0,0,0,4,25,2.1,1073164,201469,0.187733655,23751.14,2256245,329484,0.146032013,593.13,326.84,236.33,0,0
73_1109,0,0,1,1,0,0,0,0,1,1,0,0,2.2,218761,44205,0.202069839,23988.97,471459,70456,0.149442475,587.66,326.32,237.54,1,0
464_7345,0,0,0,0,1,0,0,0,0,0,5,20,2.6,18378,4400,0.239416694,21911.83,47843,2120,0.044311603,533.73,303.85,225.67,1,0
959_6791,0,1,0,1,0,0,0,0,0,1,0,0,2.1,1072660,200986,0.187371581,23738.87,2254795,330100,0.146399118,593.05,326.89,236.21,0,0
195_6105,0,0,1,0,0,0,0,1,0,0,4,35,2.1,108948,17616,0.161691816,22848.55,227880,23179,0.101715815,582.23,346.35,234.69,1,1
100_2826,0,0,0,1,0,0,0,0,1,1,5,15,2.2,149803,30305,0.202299019,23850.82,327769,40896,0.124770799,584.9,325.59,237.82,1,1
1140_7669,1,1,1,1,0,0,0,0,0,0,4,25,2.1,1003904,184477,0.183759603,23649.57,2097314,316702,0.151003617,592.98,325.73,234.37,1,0
982_6938,1,0,1,1,0,0,0,0,0,1,0,0,2.1,1023614,188773,0.18441815,23646.49,2144431,318488,0.148518651,592.5,325.33,234.52,1,1
121_1979,0,0,0,0,0,0,0,0,0,1,3,20,2.5,70514,15881,0.225217687,22045.87,178932,8416,0.047034628,540,306.12,226.7,1,0
1190_7878,0,0,0,0,0,0,0,0,0,0,5,25,2.1,946385,172415,0.182182727,23654.43,1965930,302303,0.153770989,593.7,326.55,233.98,1,0
938_6587,1,1,1,0,0,0,0,0,1,1,4,32,2.1,1022965,188678,0.184442283,23653.08,2142310,318872,0.148844938,592.68,325.27,234.52,1,1
145_2057,0,0,1,0,0,0,0,0,0,0,0,0,2.1,211946,42641,0.201188038,24036.65,454573,69464,0.15281154,589.09,326.34,237.5,1,1
66_2164,1,0,1,1,0,0,0,0,0,1,5,39,2.2,140727,30891,0.219510115,24769.04,308779,36679,0.118787223,595.44,344.41,253.55,1,0
193_2595,1,1,1,0,1,0,0,0,1,1,5,36.5,2.3,95427,18775,0.196747252,22813.94,219793,15591,0.070934925,563.38,332.59,235.79,1,0
518_6942,0,0,0,0,0,0,0,0,0,0,5,27,2.2,226364,46072,0.203530597,23889.35,491877,71373,0.145103349,584.9,325.33,237.09,1,1
158_1074,1,1,1,1,1,1,0,1,1,0,7,68,2.1,1070901,202249,0.188858727,23803.99,2251494,331195,0.147100103,593.72,327.38,236.96,0,0
874_6317,0,0,0,0,1,0,0,0,0,0,4,23.5,2.1,961199,170831,0.177726985,23278.48,2015084,292987,0.145396916,588.15,320.06,229.7,0,0
236_6486,1,0,1,0,0,0,0,1,1,0,5,35,2.2,139697,26819,0.191979785,23538.23,303265,35273,0.116310817,582.87,322.94,233.38,1,1
377_4703,0,0,1,1,0,0,0,0,1,0,5,20,2.6,14125,3035,0.214867257,21495.31,36362,1720,0.047302129,532.9,302.78,222.43,1,1
641_8593,0,0,0,0,0,0,0,0,0,1,0,0,2.2,235143,50650,0.215400841,24860.98,511074,48400,0.094702528,599.33,341.81,253.23,1,0
612_4352,0,1,1,0,1,0,0,0,0,1,1,5,2.1,1013486,185814,0.183341457,23598.86,2122210,315656,0.148739286,592.08,324.73,233.88,1,0
519_6945,0,0,1,0,0,0,0,0,1,1,3,17,2.2,229806,46852,0.203876313,23865.72,500463,71912,0.143690942,584.21,325.44,237.1,1,0
327_7717,0,0,1,0,0,0,0,1,0,1,0,0,2.4,47315,9654,0.204036775,22405.97,111666,6473,0.05796751,557.67,311.5,228.82,0,0
386_4852,1,0,1,0,0,0,0,0,1,0,5,42,2.1,82375,11048,0.134118361,21321.6,174341,9183,0.052672636,558.19,343.08,217.74,1,1
783_5483,0,1,1,1,1,0,1,0,0,1,0,0,2.1,1029162,190423,0.185027236,23667.85,2157131,319604,0.148161609,592.65,325.48,234.81,1,0
433_5583,0,0,0,0,0,0,0,0,0,1,0,0,2.2,218967,44266,0.202158316,23982.82,472055,70489,0.149323702,587.49,326.3,237.5,1,1
766_8971,0,0,0,0,0,0,0,0,0,1,0,0,2.4,63120,12388,0.19626109,22475.64,148784,10405,0.069933595,556.74,325.38,232.5,1,1
657_8113,0,1,1,0,0,0,0,0,1,0,4,25,2.1,697464,131526,0.188577475,24014.65,1439073,242704,0.168653015,597.89,330.11,237.03,1,0
341_5716,0,0,0,0,0,0,0,0,0,0,0,0,2.2,296608,64678,0.218058852,24618.96,656189,58457,0.089085614,594.09,337.92,251.49,0,0
173_8799,0,0,0,0,0,0,0,0,0,0,5,36,2.4,132598,33437,0.252168208,23971.6,315510,22389,0.070961301,578.21,322.26,248.06,1,0
120_4104,0,1,0,1,1,0,0,0,0,0,5,20,2.1,107344,17341,0.161546058,22875.12,223709,23793,0.106356919,582.63,346.35,234.3,1,1
397_8530,0,0,0,0,0,0,0,0,0,0,5,20,2.2,151506,30802,0.20330548,23853.23,332219,41308,0.124339668,584.56,325.57,238.04,1,1
592_7572,0,0,1,1,0,0,0,0,1,0,5,21.5,2.1,72553,9956,0.137223823,21496.29,153417,8452,0.055091678,560.18,345.66,219.91,1,0
569_7378,0,0,0,1,0,0,0,0,0,1,4,19,2.1,202866,39876,0.196563249,23765.8,435695,66650,0.152973984,585.46,323.84,233.79,1,0
146_2425,0,0,1,0,0,0,0,0,1,1,5,24,2.5,55227,12650,0.229054629,22464.12,137453,7449,0.05419307,546.7,310.82,231.34,0,0
9_198,0,1,0,1,0,0,0,0,0,1,0,0,2.3,27867,5042,0.18093085,21899.57,63843,3504,0.054884639,552.18,326.31,224.91,1,0
8_353,1,1,1,0,1,0,0,0,1,1,2,5,2.1,84677,14097,0.166479682,22667.86,181130,18425,0.10172252,572.77,346.09,232.87,1,0
75_979,1,1,1,0,1,0,0,0,0,0,5,35,2.6,61797,14053,0.227405861,21904.32,158875,7699,0.048459481,538.27,305.69,226.33,1,1
202_2759,0,0,0,0,0,0,0,0,0,0,5,28,2.2,232921,47546,0.204129297,23806.31,509085,72060,0.141548072,582.74,324.57,236.6,1,1
230_7182,0,0,1,0,0,0,0,0,1,0,0,0,2.4,34044,5931,0.174215721,20760.7,82169,3884,0.047268435,529.61,318.88,215.14,1,0
809_5618,0,0,0,0,0,0,0,0,0,0,5,45,2.1,1049189,195952,0.186765206,23714.36,2203949,323918,0.14697164,592.81,326.03,235.62,1,1
238_1647,0,1,1,0,0,0,0,0,1,1,0,0,2.1,1040153,194249,0.186750411,23729.75,2182611,324460,0.148656815,593.16,326.34,235.72,1,1
647_8035,0,0,0,0,0,0,0,0,0,0,5,33,2.2,227974,45849,0.201115039,23871.55,493389,71404,0.144721508,585.19,326.32,236.81,1,1
540_7898,0,0,0,0,0,0,0,0,0,1,0,0,2.2,270936,59428,0.219343314,24724.36,597980,54256,0.090732132,595.4,339.04,252.54,1,0
1065_7321,0,1,0,0,1,0,0,0,0,0,5,25.5,2.1,1043629,194759,0.186617083,23727.97,2189795,324602,0.148233967,593.18,326.29,235.71,0,0
641_7987,0,0,1,1,0,0,0,0,1,1,1,7,2.5,40125,7825,0.195015576,20943.88,101345,3743,0.036933248,520.13,309.73,215.65,1,0
154_1030,0,1,1,0,1,0,0,0,0,0,4,37,2.1,1075307,202459,0.188280184,23732.73,2265904,327788,0.144661027,592.39,326.42,236.2,1,1
374_2707,0,1,1,0,1,0,0,0,0,0,5,25,2.1,1065847,197175,0.184993719,23629.9,2239711,324823,0.145028979,591.94,325.9,234.93,1,1
44_1557,1,0,0,1,0,0,0,0,1,0,5,28,2.4,16750,3162,0.188776119,21112.64,40544,1919,0.047331294,531.98,309.88,214.83,1,0
357_4651,0,0,1,0,0,0,0,0,0,1,2,4,2.3,82561,19620,0.23764247,24451.73,192767,13636,0.070738249,579.77,344.32,256.21,1,1
343_2515,0,0,0,1,0,0,0,0,0,1,4,29,2.1,1096662,208425,0.190054,23824.51,2310917,336064,0.145424522,593.53,327.8,237.49,1,1
46_512,0,0,0,0,0,0,0,0,0,1,0,0,2.1,450501,83140,0.18455009,23319.85,965429,112521,0.116550259,585.54,326.27,234.46,1,1
99_2723,1,1,0,0,1,0,0,0,1,0,5,20,2.3,36484,6720,0.18419033,21942.48,84222,4626,0.054926266,553.43,320.16,224.74,0,0
99_1446,0,0,1,0,0,0,0,0,0,0,5,18,2.2,172540,31779,0.184183378,22242.44,388045,36605,0.094331843,558.49,312.38,221.35,0,0
98_674,0,0,0,0,1,0,0,0,0,0,5,36,2.1,1053011,197889,0.187926812,23777.5,2210592,328357,0.148538039,593.68,327.07,236.45,0,0
98_6329,0,0,0,0,0,0,0,0,0,0,5,20,2.4,126705,31893,0.251710667,24003.12,300716,21529,0.071592466,578.84,322.94,248.34,0,0
98_3484,1,1,1,0,1,0,0,0,0,0,5,28,2.1,137664,22502,0.163455951,22778.44,290551,29374,0.10109757,579.04,344.41,233.9,0,0
98_2721,1,0,0,0,1,0,0,0,0,0,5,34,2.4,8876,1883,0.21214511,22615.93,21011,1152,0.054828423,556.76,328.17,235.05,0,0
976_6861,0,0,0,0,0,0,0,0,0,1,0,0,2.1,1085613,205969,0.189725989,23825.9,2285107,334839,0.146530994,593.74,327.78,237.38,0,0
97_3160,0,0,0,0,0,0,0,0,0,0,0,0,2.2,147102,32600,0.221614934,24718.01,324917,38001,0.116956023,593.81,342.76,253.21,0,0
97_2702,1,0,0,0,1,0,0,0,0,0,5,36,2.3,51912,10023,0.193076745,22494.56,119014,7237,0.060807972,562.15,320.22,229.75,0,0
97_1369,0,0,0,0,0,0,0,0,0,0,4,22,2.3,28585,3728,0.130418051,19889.46,65840,2574,0.039094775,525.31,321.84,202.76,0,0
968_6819,0,0,0,0,0,0,0,0,0,1,0,0,2.1,958971,170253,0.177537173,23271.2,2010130,292392,0.145459249,588.09,319.95,229.59,0,0
961_6794,1,0,0,1,1,0,0,0,0,1,0,0,2.1,1011838,184079,0.181925367,23484.89,2123599,308614,0.14532593,590.32,323.24,232.65,0,0
960_6794,1,0,0,1,1,0,0,0,0,0,4,32,2.1,1010936,184624,0.182626793,23556,2117651,313640,0.148107502,591.54,324.32,233.43,0,0
96_664,0,1,0,0,0,0,0,0,0,0,4,25,2.1,1103777,210173,0.190412556,23836.67,2326765,336931,0.144806631,593.57,328.05,237.71,0,0
96_1586,0,0,0,0,0,0,0,0,0,0,0,0,2.2,308520,66792,0.216491637,24488.1,683930,59866,0.08753235,592.33,336.83,250.18,0,0
96_1412,0,0,0,0,0,0,0,0,0,0,4,22,2.4,54127,11088,0.204851553,22518.58,127882,8713,0.068133123,553.02,330.31,234.63,0,0
95_3381,1,1,1,0,1,0,0,0,0,1,5,23.5,2.4,24509,3942,0.160838876,20183.85,58734,3094,0.052678176,521.97,314.01,205.87,0,0
95_2674,0,0,0,0,0,0,0,0,0,0,0,0,2.2,155074,31655,0.204128352,23824.39,341199,41827,0.122588284,583.71,325.04,237.97,0,0
95_1578,1,0,0,0,0,0,0,0,0,0,5,31.5,2.5,85879,19869,0.231360402,22770.32,212613,12984,0.061068702,553.89,313.22,235.41,0,0
943_6628,0,0,0,0,1,0,0,0,0,1,0,0,2.1,984831,177030,0.17975673,23381.9,2065475,300439,0.145457582,589.28,321.63,231.18,0,0
942_6628,0,0,0,0,1,0,0,0,0,0,6,28,2.1,1038567,192001,0.184871077,23605.9,2182930,316246,0.144872259,591.39,324.71,234.29,0,0
94_8522,0,0,0,0,0,0,0,0,0,1,0,0,2.3,157558,34969,0.221943665,24187.97,359052,29142,0.081163731,583.57,342.73,252.86,0,0
94_3318,0,1,0,0,1,0,0,0,0,0,5,26.5,2.1,140892,23061,0.163678562,22745.48,298091,29884,0.100251266,578.2,343.91,233.63,0,0
94_2636,0,0,0,0,0,0,0,0,0,0,0,0,2.4,68263,14112,0.206729854,22615.7,160689,9172,0.057079203,560.63,314.27,231.38,0,0
94_1402,0,0,0,0,0,0,0,0,0,1,6,18,2.6,14018,3021,0.215508632,21485.1,36150,1697,0.046943292,532.55,302.26,222.31,0,0
936_6583,0,1,1,0,1,0,0,0,0,0,5,30,2.1,1027495,190929,0.185819882,23719.48,2150261,322463,0.149964586,593.4,327.03,235.52,0,0
93_1263,0,1,0,0,1,0,0,0,0,0,5,29,2.3,30699,6298,0.205153262,23493.44,70190,3331,0.047456903,571.73,347.42,246.05,0,0
924_6547,1,0,1,0,0,0,0,0,1,0,0,0,2.1,1079510,203693,0.188690239,23782.16,2271533,330989,0.145711729,593.33,327.17,236.79,0,0
92_1542,1,1,0,0,1,0,0,0,0,0,5,20,2.3,226347,45033,0.198955586,23215.34,511993,34971,0.068303668,576.46,323.38,237.04,0,0
92_1259,1,1,1,0,1,0,0,0,0,1,5,20,2.1,991455,178283,0.179819558,23400.15,2081583,294924,0.141682556,589.06,323.12,231.82,0,0
90_3085,1,0,0,0,1,0,0,0,1,0,5,34,2.2,137534,29374,0.213576279,24544.5,301249,34934,0.11596387,592.95,343.11,250.7,0,0
90_1219,0,0,0,0,0,0,0,0,0,0,4,28,2.2,53080,8880,0.16729465,22225.57,118709,7755,0.065327818,563.14,332.5,228.71,0,0
9_90,1,1,1,1,1,0,0,0,0,0,5,28,2.3,42127,9029,0.214328103,23600.3,97626,5162,0.052875259,569.09,347.11,247.55,0,0
9_49,0,0,0,0,0,0,0,0,0,0,5,30.5,2.1,1040399,194655,0.187096489,23750.61,2182211,325192,0.149019504,593.49,326.68,235.99,0,0
9_1827,0,0,0,0,0,0,0,0,0,0,0,0,2.5,38415,7027,0.182923337,20694.34,95862,3978,0.041497152,518.16,318.03,214.96,0,0
89_2956,0,0,0,0,0,0,0,0,0,0,5,21,2.2,151075,33841,0.224001324,24610.45,336916,38074,0.113007397,590.44,340.97,252.24,0,0
89_1514,1,0,0,1,1,0,0,0,0,0,5,20,2.4,142763,31216,0.218656094,23010.22,341548,21909,0.064146182,563.72,320.56,237.86,0,0
881_6336,0,0,0,0,0,0,0,0,0,0,4,23,2.1,1009526,185830,0.184076487,23654.46,2109916,316833,0.150163798,592.9,326.24,234.58,0,0
88_2948,0,0,1,0,1,0,0,0,1,1,0,0,2.4,121788,26161,0.214807699,22789.46,288953,21687,0.075053728,559.99,315.66,233.03,0,0
88_2470,1,0,0,0,1,0,0,0,0,0,4,17,2.6,24758,5839,0.23584296,22081.86,63988,3087,0.048243421,537.9,295.64,225.31,0,0
88_1284,0,0,0,0,0,0,0,0,0,0,0,0,2.3,23147,3220,0.1391109,20762.57,52333,2297,0.043891999,541.89,325.77,212.74,0,0
877_6325,1,0,0,1,1,0,0,0,0,0,5,28,2.1,1004019,182881,0.182148943,23564.38,2099788,312839,0.148985993,591.9,324.29,233.31,0,0
87_8127,0,0,0,0,0,0,0,0,0,1,0,0,2.4,25799,5956,0.230861661,23577.79,61617,4011,0.065095672,563.4,343.84,249.45,0,0
87_2944,1,0,0,1,1,0,0,0,0,0,5,33,2.4,35050,6602,0.188359486,21778.7,82964,4184,0.050431512,547.64,312.82,222.05,0,0
87_2448,1,0,0,0,0,0,0,0,0,0,5,15,2.5,17952,3071,0.171067291,20001.86,44618,2412,0.0540589,517.62,300.79,204.56,0,0
87_1214,0,0,0,0,0,0,0,0,0,0,5,28,2.6,48980,11138,0.227398938,21271.97,129734,5960,0.045940154,519.41,304.32,220.84,0,0
869_6305,1,0,1,1,1,0,0,0,0,0,4,31,2.1,1041716,193592,0.185839519,23672.9,2187476,321233,0.146850983,592.36,325.55,235.04,0,0
86_2379,1,0,0,1,1,0,0,0,0,1,0,0,2.4,68263,14112,0.206729854,22615.7,160689,9172,0.057079203,560.63,314.27,231.38,0,0
86_1505,0,0,0,0,0,0,0,0,0,0,5,20,2.3,142519,30836,0.216364134,23926.77,322426,31731,0.098413279,580.6,331.82,244.53,0,0
86_1208,0,0,0,0,0,0,0,0,0,0,5,28.5,2.6,46203,9322,0.20176179,20928.3,118427,5644,0.047658051,519.91,310.26,216.74,0,0
859_6270,1,0,1,1,1,0,0,0,1,0,0,0,2.1,1019219,187650,0.18411156,23581.03,2140169,311142,0.145381977,591.24,324.14,233.76,0,0
857_6263,0,0,0,0,1,0,0,0,0,0,5,25,2.1,1003376,181930,0.181317871,23441.64,2107845,302595,0.143556571,589.74,322.4,232.17,0,0
85_573,1,0,0,0,0,0,0,0,0,0,4,24,2.1,1034383,191839,0.185462251,23676.98,2169491,320729,0.147836059,592.61,325.68,235.01,0,0
85_3044,0,0,0,0,0,0,0,0,0,0,4,8,2.1,80679,13546,0.167899949,22677.18,173196,17577,0.101486178,572.24,346.04,233.26,0,0
85_1178,1,0,0,0,0,0,0,0,0,0,4,24,2.2,384751,72609,0.188716858,23247.2,841946,82008,0.097402921,581.5,330.14,237.11,0,0
847_6055,0,0,0,0,0,0,0,0,0,0,4,23.5,2.1,972244,174038,0.179006505,23392.3,2032963,303633,0.149354907,590.04,322.02,231.05,0,0
84_4972,0,0,0,0,0,0,0,0,0,0,5,20,2.4,77266,19698,0.254937489,23854.6,185660,12207,0.065749219,574.41,321.23,247.19,0,0
84_3043,0,1,0,0,0,0,0,0,0,0,5,25,2.1,132868,21638,0.162853358,22713.96,280843,28007,0.099724757,578.13,343.71,233.23,0,0
84_2372,0,0,0,0,0,0,0,0,0,0,5,40,2.5,39638,9499,0.239643776,22453.8,101063,6074,0.060101125,545.93,299.01,230.15,0,0
84_1476,0,0,0,0,0,0,0,0,0,0,5,22,2.6,31665,7960,0.251381652,22526.75,81858,4252,0.05194361,542.69,311.18,233.86,0,0
84_1089,0,0,0,0,0,0,0,0,0,0,5,31,2.1,674212,128083,0.18997437,23801.52,1418715,216712,0.152752315,592.4,324.51,235.64,0,0
833_9454,0,0,0,0,0,0,0,0,0,1,0,0,2.1,514883,94486,0.183509652,23250.12,1105454,127661,0.115482869,584.11,325.72,233.71,0,0
832_5871,0,0,0,0,0,0,0,0,0,0,5,37.5,2.1,1073984,202819,0.18884732,23796.68,2258782,331099,0.146582981,593.6,327.22,236.89,0,0
